2017-09-07 14:09:48   mouse movement trajectory: ( 722, 408 )
2017-09-07 14:09:49   mouse movement trajectory: ( 722, 408 )
2017-09-07 14:09:49   mouse movement trajectory: ( 760, 520 )
2017-09-07 14:09:49   mouse movement trajectory: ( 742, 208 )
2017-09-07 14:09:49   mouse movement trajectory: ( 742, 208 )
2017-09-07 14:09:49   mouse movement trajectory: ( 742, 208 )
2017-09-07 14:09:49   mouse movement trajectory: ( 742, 208 )
2017-09-07 14:09:49   mouse movement trajectory: ( 758, 154 )
2017-09-07 14:09:49   mouse movement trajectory: ( 758, 154 )
2017-09-07 14:09:49   mouse movement trajectory: ( 760, 524 )
2017-09-07 14:09:49   mouse movement trajectory: ( 758, 154 )
2017-09-07 14:09:49   mouse movement trajectory: ( 782, 96 )
2017-09-07 14:09:49   mouse movement trajectory: ( 782, 96 )
2017-09-07 14:09:49   mouse movement trajectory: ( 760, 532 )
2017-09-07 14:09:49   mouse movement trajectory: ( 790, 84 )
2017-09-07 14:09:49   mouse movement trajectory: ( 790, 84 )
2017-09-07 14:09:49   mouse movement trajectory: ( 802, 86 )
2017-09-07 14:09:49   mouse movement trajectory: ( 802, 86 )
2017-09-07 14:09:49   mouse movement trajectory: ( 804, 154 )
2017-09-07 14:09:50   mouse movement trajectory: ( 804, 154 )
2017-09-07 14:09:50   mouse movement trajectory: ( 804, 154 )
2017-09-07 14:09:50   mouse movement trajectory: ( 798, 230 )
2017-09-07 14:09:50   mouse movement trajectory: ( 798, 230 )
2017-09-07 14:09:50   mouse movement trajectory: ( 798, 230 )
2017-09-07 14:09:50   mouse movement trajectory: ( 798, 230 )
2017-09-07 14:09:50   mouse movement trajectory: ( 794, 274 )
2017-09-07 14:09:50   mouse movement trajectory: ( 794, 274 )
2017-09-07 14:09:50   mouse movement trajectory: ( 794, 274 )
2017-09-07 14:09:50   mouse movement trajectory: ( 788, 336 )
2017-09-07 14:09:50   mouse movement trajectory: ( 788, 336 )
2017-09-07 14:09:50   mouse movement trajectory: ( 782, 382 )
2017-09-07 14:09:50   mouse movement trajectory: ( 782, 382 )
2017-09-07 14:09:50   mouse movement trajectory: ( 782, 382 )
2017-09-07 14:09:50   mouse movement trajectory: ( 780, 402 )
2017-09-07 14:09:50   mouse movement trajectory: ( 780, 402 )
2017-09-07 14:09:50   mouse movement trajectory: ( 780, 402 )
2017-09-07 14:09:50   mouse movement trajectory: ( 772, 448 )
2017-09-07 14:09:51   mouse movement trajectory: ( 772, 448 )
2017-09-07 14:09:51   mouse movement trajectory: ( 772, 448 )
2017-09-07 14:09:51   mouse movement trajectory: ( 772, 448 )
2017-09-07 14:09:51   mouse movement trajectory: ( 772, 448 )
2017-09-07 14:09:51   mouse movement trajectory: ( 766, 472 )
2017-09-07 14:09:51   mouse movement trajectory: ( 766, 472 )
2017-09-07 14:09:51   mouse movement trajectory: ( 766, 472 )
2017-09-07 14:09:51   mouse movement trajectory: ( 766, 472 )
2017-09-07 14:09:51   mouse movement trajectory: ( 766, 472 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 490 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 490 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 490 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 490 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 490 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 492 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 492 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 492 )
2017-09-07 14:09:51   mouse movement trajectory: ( 762, 492 )
2017-09-07 14:09:52   mouse movement trajectory: ( 762, 492 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 496 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 496 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 496 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 496 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 496 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:52   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 546 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 552 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 558 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 508 )
2017-09-07 14:09:53   mouse movement trajectory: ( 760, 508 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 508 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 508 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 508 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 518 )
2017-09-07 14:09:54   mouse movement trajectory: ( 760, 518 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 518 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 518 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 518 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 520 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 520 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 520 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 520 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 520 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 524 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 524 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 524 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 524 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 524 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 532 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 532 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 532 )
2017-09-07 14:09:55   mouse movement trajectory: ( 760, 532 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 538 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 546 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 546 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 546 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 546 )
2017-09-07 14:09:56   mouse movement trajectory: ( 760, 546 )
